grid_id,centroid_lon,centroid_lat,first_capture_date,estimate_date,last_capture_date,flight_bucket,coverage_status
JNB0001,28.115703799562446,-26.08741043082538,2024-02-17T11:07:19,2024-02-17T11:07:19,2024-04-19T07:58:46,2024-04-19,centroid_hit
JNB0002,28.124968013906127,-26.086054604678115,2024-02-17T10:40:45,2024-02-17T10:51:57,2024-04-19T07:58:46,2024-04-19,centroid_hit
JNB0003,28.132043647144588,-26.085979660043296,2024-02-17T10:40:45,2024-02-17T10:40:45,2024-02-17T10:40:51,2024-02-17,centroid_hit
JNB0004,28.106226747206414,-26.094627781658954,2024-02-17T11:07:05,2024-02-17T11:21:59,2024-04-19T08:08:08,2024-04-19,centroid_hit
JNB0005,28.114974029802255,-26.09335865285316,2024-02-17T11:07:08,2024-02-17T11:07:16,2024-04-19T07:58:46,2024-04-19,centroid_hit
JNB0006,28.124972264480785,-26.093281024138953,2024-02-17T10:40:48,2024-02-17T10:51:46,2024-04-19T07:58:46,2024-04-19,centroid_hit
JNB0007,28.13200319988147,-26.09350136866183,2024-02-17T10:40:50,2024-02-17T10:40:57,2024-02-17T10:41:02,2024-02-17,centroid_hit
JNB0008,28.0954438787572,-26.10289749837852,2024-04-19T08:08:08,2024-04-19T08:21:47,2024-04-19T08:33:09,2024-04-19,centroid_hit
JNB0009,28.105060595275614,-26.10246364061667,2024-02-17T11:10:07,2024-02-17T11:21:49,2024-04-19T08:18:53,2024-04-19,centroid_hit
JNB0010,28.115059637917376,-26.102386674050823,2024-02-17T11:06:51,2024-02-17T11:07:00,2024-04-19T07:58:33,2024-04-19,centroid_hit
JNB0011,28.125058639871117,-26.102309014497653,2024-02-17T10:37:42,2024-02-17T10:51:32,2024-04-19T07:58:32,2024-04-19,centroid_hit
JNB0012,28.134968127186447,-26.10241415441551,2024-02-17T10:24:58,2024-02-17T10:27:27,2024-02-17T10:41:14,2024-02-17,centroid_hit
JNB0013,28.145056520256222,-26.102151616472973,2024-02-17T10:14:31,2024-02-17T10:14:36,2024-02-17T10:27:32,2024-02-17,centroid_hit
JNB0014,28.07553277144762,-26.112839524567473,2024-02-21T09:30:37,2024-02-21T09:44:27,2024-02-21T09:47:10,2024-02-21,centroid_hit
