gid,rc,n,has2023,n2023,ymin,ymax,d2023
JNB0003,0,14,True,2,2015,2025,2023/01/23;2023/11/24
JNB0010,0,14,True,1,2012,2025,2023/01/23
JNB0006,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0005,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0011,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0009,0,14,True,1,2012,2025,2023/01/23
JNB0007,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0013,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0012,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0014,0,14,True,1,2012,2025,2023/01/23
JNB0002,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0001,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0015,0,14,True,1,2012,2025,2023/01/23
JNB0004,0,14,True,1,2012,2025,2023/01/23
JNB0008,0,14,True,1,2012,2025,2023/01/23
JNB0016,0,14,True,1,2012,2025,2023/01/23
JNB0017,0,14,True,1,2012,2025,2023/01/23
JNB0018,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0020,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0021,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0023,0,14,True,1,2012,2025,2023/01/23
JNB0022,0,14,True,1,2012,2025,2023/01/23
JNB0024,0,14,True,1,2012,2025,2023/01/23
JNB0019,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0025,0,14,True,1,2012,2025,2023/01/23
JNB0026,0,14,True,1,2012,2025,2023/01/23
JNB0027,0,14,True,1,2012,2025,2023/01/23
JNB0028,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0029,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0031,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0035,0,14,True,1,2012,2025,2023/01/23
JNB0034,0,14,True,1,2012,2025,2023/01/23
JNB0036,0,14,True,1,2012,2025,2023/01/23
JNB0037,0,14,True,1,2012,2025,2023/01/23
JNB0033,0,14,True,1,2012,2025,2023/01/23
JNB0030,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0032,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0038,0,14,True,1,2012,2025,2023/01/23
JNB0039,0,14,True,1,2012,2025,2023/01/23
JNB0040,0,14,True,1,2012,2025,2023/01/23
JNB0042,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0041,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0044,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0043,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0046,0,14,True,1,2012,2025,2023/01/23
JNB0045,0,14,True,1,2012,2025,2023/01/23
JNB0047,0,14,True,1,2012,2025,2023/01/23
JNB0048,0,14,True,1,2012,2025,2023/01/23
JNB0049,0,14,True,1,2012,2025,2023/01/23
JNB0050,0,14,True,1,2012,2025,2023/01/23
JNB0051,0,14,True,1,2012,2025,2023/01/23
JNB0052,0,14,True,1,2012,2025,2023/01/23
JNB0054,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0053,0,14,True,1,2012,2025,2023/01/23
JNB0056,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0055,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0057,0,14,True,2,2012,2025,2023/01/23;2023/11/24
JNB0058,0,14,True,1,2012,2025,2023/01/23
JNB0060,0,14,True,1,2012,2025,2023/01/23
JNB0059,0,14,True,1,2012,2025,2023/01/23
JNB0061,0,14,True,1,2012,2025,2023/01/23
JNB0062,0,14,True,1,2012,2025,2023/01/23
