grid,v3c_total_pred,v3c_correct,v3c_edit,v3c_delete,sam_added,li_marked,edit_covered_by_sam,edit_uncovered,input_parts,clean_total,merged_pairs,is_micro
G0772,44,34,0,10,15,0,0,0,49,34,15,False
G0773,25,22,0,3,5,0,0,0,27,22,5,False
G0774,179,174,0,4,149,2,0,0,325,168,157,True
G0775,75,63,3,9,47,0,3,0,110,63,47,False
G0776,19,10,0,9,4,0,0,0,14,10,4,False
G0814,146,137,1,8,116,0,1,0,253,136,117,False
G0815,48,37,0,11,23,0,0,0,60,36,24,False
G0816,129,115,3,11,99,2,3,0,216,111,105,True
G0817,104,93,1,10,74,0,1,0,167,90,77,False
G0818,88,82,1,5,60,0,1,0,142,82,60,False
G0853,26,17,0,9,6,0,0,0,23,17,6,False
G0854,81,68,0,13,51,0,0,0,119,68,51,False
G0855,93,84,1,8,64,0,1,0,148,82,66,False
G0856,42,36,0,6,14,0,0,0,50,30,20,False
G0857,54,45,3,6,27,0,2,1,72,41,31,False
G0888,59,49,3,7,29,0,3,0,78,49,29,False
G0889,154,145,3,6,124,0,3,0,269,142,127,False
G0890,70,58,1,11,40,0,1,0,98,52,46,False
G0891,29,15,0,13,8,0,0,0,23,15,8,False
G0892,34,27,0,7,8,0,0,0,35,27,8,False
G0922,231,222,5,4,201,1,5,0,424,215,209,True
G0923,307,299,5,3,277,0,5,0,576,297,279,False
G0924,199,193,4,2,169,0,4,0,362,188,174,False
G0925,96,81,4,11,75,0,4,0,156,79,77,False
G0926,34,30,0,4,14,0,0,0,44,29,15,False
