chip_id,grid_id,detector,pred_idx,label,iou_to_gt,area_m2,source_detector,chip_path,split,dup_group_id,dup_size,is_canonical
v4_2_G0772_p0000,G0772,v4_2,0,nonpv,0.0,351.827,both,chips/nonpv/v4_2_G0772_p0000.png,,,1,True
v3c_G0772_p0005,G0772,v3c,5,pv,0.7547,141.83,both,chips/pv/v3c_G0772_p0005.png,,g00000,2,False
v4_2_G0772_p0012,G0772,v4_2,12,pv,0.6401,168.082,both,chips/pv/v4_2_G0772_p0012.png,,g00000,2,False
v3c_G0772_p0000,G0772,v3c,0,nonpv,0.0,130.206,both,chips/nonpv/v3c_G0772_p0000.png,,,1,True
v3c_G0772_p0001,G0772,v3c,1,nonpv,0.0,4.02,both,chips/nonpv/v3c_G0772_p0001.png,,,1,True
v4_2_G0772_p0022,G0772,v4_2,22,pv,0.921,27.386,both,chips/pv/v4_2_G0772_p0022.png,,,1,True
v3c_G0772_p0011,G0772,v3c,11,pv,0.8753,64.287,v3c,chips/pv/v3c_G0772_p0011.png,,,1,True
v4_2_G0772_p0001,G0772,v4_2,1,nonpv,0.0,117.627,v4_2,chips/nonpv/v4_2_G0772_p0001.png,,,1,True
v4_2_G0772_p0002,G0772,v4_2,2,nonpv,0.0,98.58,v4_2,chips/nonpv/v4_2_G0772_p0002.png,,,1,True
v3c_G0772_p0016,G0772,v3c,16,pv,0.9354,24.978,both,chips/pv/v3c_G0772_p0016.png,,,1,True
v4_2_G0772_p0024,G0772,v4_2,24,pv,0.8083,113.145,both,chips/pv/v4_2_G0772_p0024.png,,,1,True
v3c_G0772_p0002,G0772,v3c,2,nonpv,0.0,4.319,both,chips/nonpv/v3c_G0772_p0002.png,,,1,True
v3c_G0772_p0003,G0772,v3c,3,nonpv,0.0,169.632,v3c,chips/nonpv/v3c_G0772_p0003.png,,,1,True
v4_2_G0772_p0055,G0772,v4_2,55,pv,0.6651,21.455,both,chips/pv/v4_2_G0772_p0055.png,,,1,True
v3c_G0772_p0017,G0772,v3c,17,pv,0.8255,110.339,both,chips/pv/v3c_G0772_p0017.png,,,1,True
v4_2_G0772_p0003,G0772,v4_2,3,nonpv,0.0,124.533,v4_2,chips/nonpv/v4_2_G0772_p0003.png,,,1,True
v4_2_G0772_p0004,G0772,v4_2,4,nonpv,0.0,4.299,both,chips/nonpv/v4_2_G0772_p0004.png,,,1,True
v3c_G0772_p0039,G0772,v3c,39,pv,0.9341,14.369,both,chips/pv/v3c_G0772_p0039.png,,,1,True
v3c_G0772_p0004,G0772,v3c,4,nonpv,0.0,143.997,both,chips/nonpv/v3c_G0772_p0004.png,,,1,True
v4_2_G0772_p0056,G0772,v4_2,56,pv,0.729,19.464,both,chips/pv/v4_2_G0772_p0056.png,,,1,True
v4_2_G0772_p0057,G0772,v4_2,57,pv,0.8524,9.016,both,chips/pv/v4_2_G0772_p0057.png,,,1,True
v3c_G0772_p0006,G0772,v3c,6,nonpv,0.0,181.218,both,chips/nonpv/v3c_G0772_p0006.png,,,1,True
v3c_G0772_p0040,G0772,v3c,40,pv,0.8787,16.021,both,chips/pv/v3c_G0772_p0040.png,,,1,True
v4_2_G0772_p0005,G0772,v4_2,5,nonpv,0.0,430.7,v4_2,chips/nonpv/v4_2_G0772_p0005.png,,,1,True
v4_2_G0772_p0006,G0772,v4_2,6,nonpv,0.0,6.21,v4_2,chips/nonpv/v4_2_G0772_p0006.png,,,1,True
v3c_G0772_p0041,G0772,v3c,41,pv,0.9225,8.08,both,chips/pv/v3c_G0772_p0041.png,,,1,True
v3c_G0772_p0007,G0772,v3c,7,nonpv,0.0,17.992,both,chips/nonpv/v3c_G0772_p0007.png,,,1,True
v4_2_G0772_p0058,G0772,v4_2,58,pv,0.8724,77.579,v4_2,chips/pv/v4_2_G0772_p0058.png,,,1,True
v4_2_G0772_p0059,G0772,v4_2,59,pv,0.5221,76.842,v4_2,chips/pv/v4_2_G0772_p0059.png,,,1,True
v3c_G0772_p0008,G0772,v3c,8,nonpv,0.0,34.333,v3c,chips/nonpv/v3c_G0772_p0008.png,,,1,True
v3c_G0772_p0042,G0772,v3c,42,pv,0.8288,21.733,both,chips/pv/v3c_G0772_p0042.png,,,1,True
v4_2_G0772_p0007,G0772,v4_2,7,nonpv,0.0,5.672,both,chips/nonpv/v4_2_G0772_p0007.png,,,1,True
v4_2_G0772_p0008,G0772,v4_2,8,nonpv,0.0,4.379,v4_2,chips/nonpv/v4_2_G0772_p0008.png,,,1,True
v3c_G0772_p0044,G0772,v3c,44,pv,0.9132,10.528,both,chips/pv/v3c_G0772_p0044.png,,,1,True
v3c_G0772_p0009,G0772,v3c,9,nonpv,0.0,6.369,v3c,chips/nonpv/v3c_G0772_p0009.png,,,1,True
v4_2_G0772_p0062,G0772,v4_2,62,pv,0.6414,28.082,both,chips/pv/v4_2_G0772_p0062.png,,,1,True
v4_2_G0772_p0065,G0772,v4_2,65,pv,0.6653,14.509,both,chips/pv/v4_2_G0772_p0065.png,,,1,True
v3c_G0772_p0010,G0772,v3c,10,nonpv,0.0,126.384,both,chips/nonpv/v3c_G0772_p0010.png,,,1,True
v3c_G0772_p0045,G0772,v3c,45,pv,0.8052,19.822,both,chips/pv/v3c_G0772_p0045.png,,,1,True
v4_2_G0772_p0009,G0772,v4_2,9,nonpv,0.0,240.904,v4_2,chips/nonpv/v4_2_G0772_p0009.png,,,1,True
v4_2_G0772_p0010,G0772,v4_2,10,nonpv,0.0,279.138,v4_2,chips/nonpv/v4_2_G0772_p0010.png,,,1,True
v3c_G0772_p0046,G0772,v3c,46,pv,0.337,528.337,both,chips/pv/v3c_G0772_p0046.png,,,1,True
v3c_G0772_p0012,G0772,v3c,12,nonpv,0.0,125.787,both,chips/nonpv/v3c_G0772_p0012.png,,,1,True
v4_2_G0772_p0067,G0772,v4_2,67,pv,0.5972,26.728,both,chips/pv/v4_2_G0772_p0067.png,,,1,True
v4_2_G0772_p0068,G0772,v4_2,68,pv,0.2969,599.765,both,chips/pv/v4_2_G0772_p0068.png,,,1,True
v3c_G0772_p0013,G0772,v3c,13,nonpv,0.0,5.453,v3c,chips/nonpv/v3c_G0772_p0013.png,,,1,True
v3c_G0772_p0047,G0772,v3c,47,pv,0.8988,709.323,both,chips/pv/v3c_G0772_p0047.png,,,1,True
v4_2_G0772_p0011,G0772,v4_2,11,nonpv,0.0,167.064,both,chips/nonpv/v4_2_G0772_p0011.png,,,1,True
v4_2_G0772_p0013,G0772,v4_2,13,nonpv,0.0,203.529,both,chips/nonpv/v4_2_G0772_p0013.png,,,1,True
v3c_G0772_p0049,G0772,v3c,49,pv,0.7278,18.609,both,chips/pv/v3c_G0772_p0049.png,,,1,True
v3c_G0772_p0014,G0772,v3c,14,nonpv,0.0,28.779,both,chips/nonpv/v3c_G0772_p0014.png,,,1,True
v4_2_G0772_p0069,G0772,v4_2,69,pv,0.8332,775.058,both,chips/pv/v4_2_G0772_p0069.png,,,1,True
v4_2_G0772_p0071,G0772,v4_2,71,pv,0.4253,31.187,both,chips/pv/v4_2_G0772_p0071.png,,,1,True
v3c_G0772_p0015,G0772,v3c,15,nonpv,0.0,137.666,both,chips/nonpv/v3c_G0772_p0015.png,,,1,True
v3c_G0772_p0051,G0772,v3c,51,pv,0.9311,78.076,both,chips/pv/v3c_G0772_p0051.png,,,1,True
v4_2_G0772_p0014,G0772,v4_2,14,nonpv,0.0,21.475,both,chips/nonpv/v4_2_G0772_p0014.png,,,1,True
v4_2_G0772_p0015,G0772,v4_2,15,nonpv,0.0,147.004,both,chips/nonpv/v4_2_G0772_p0015.png,,,1,True
v3c_G0772_p0052,G0772,v3c,52,pv,0.9382,21.076,both,chips/pv/v3c_G0772_p0052.png,,,1,True
v3c_G0772_p0018,G0772,v3c,18,nonpv,0.0,6.289,both,chips/nonpv/v3c_G0772_p0018.png,,,1,True
v4_2_G0772_p0072,G0772,v4_2,72,pv,0.962,82.634,both,chips/pv/v4_2_G0772_p0072.png,,,1,True
