chip_filename,split,label,subtype,grid_id,detector,source_bucket
jhbcbd_v3c_G0772_p0000__ground_road_marking.png,train,non_pv,ground_road_marking,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0001__hvac_rooftop_equipment.png,train,non_pv,hvac_rooftop_equipment,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0002__hvac_rooftop_equipment.png,train,non_pv,hvac_rooftop_equipment,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0004__ground_road_marking.png,train,non_pv,ground_road_marking,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0006__ground_road_marking.png,train,non_pv,ground_road_marking,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0007__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0010__ground_road_marking.png,train,non_pv,ground_road_marking,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0012__roof_shadow_dark_fixture.png,train,non_pv,roof_shadow_dark_fixture,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0014__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0015__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0018__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0019__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0020__corrugated_metal_roof.png,train,non_pv,corrugated_metal_roof,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
jhbcbd_v3c_G0772_p0021__actually_pv_mislabeled.png,train,pv,actually_pv_mislabeled,G0772,v3c,johannesburg:v3c_sam_mask_geid_2024_02
