g_id,cpt_id,kept,coverage_fraction,reason
G0001,,False,0.0,no_imagery
G0002,,False,0.0,no_imagery
G0003,,False,0.0,no_imagery
G0004,,False,0.0,no_imagery
G0005,,False,0.0,no_imagery
G0006,,False,0.0,no_imagery
G0007,,False,0.0,no_imagery
G0008,,False,0.0,no_imagery
G0009,,False,0.0,no_imagery
G0010,,False,0.0,no_imagery
G0011,,False,0.0,no_imagery
G0012,,False,0.0,no_imagery
G0013,,False,0.0,no_imagery
G0014,,False,0.0,no_imagery
G0015,,False,0.0,no_imagery
G0016,,False,0.0,no_imagery
G0017,,False,0.0,no_imagery
G0018,,False,0.0,no_imagery
G0019,,False,0.0,no_imagery
G0020,,False,0.0,no_imagery
G0021,,False,0.0,no_imagery
G0022,,False,0.0,no_imagery
G0023,,False,0.0,no_imagery
G0024,,False,0.0,no_imagery
G0025,,False,0.0,no_imagery
G0026,,False,0.0,no_imagery
G0027,,False,0.0,no_imagery
G0028,,False,0.0,no_imagery
G0044,,False,0.0,no_imagery
G0045,,False,0.0,no_imagery
G0046,,False,0.0,no_imagery
G0047,,False,0.0,no_imagery
G0048,,False,0.0,no_imagery
G0049,,False,0.0,no_imagery
G0050,,False,0.0,no_imagery
G0051,,False,0.0,no_imagery
G0052,,False,0.0,no_imagery
G0053,,False,0.0,no_imagery
G0054,,False,0.0,no_imagery
G0055,,False,0.0,no_imagery
G0056,,False,0.0,no_imagery
G0057,,False,0.0,no_imagery
G0058,,False,0.0,no_imagery
G0059,,False,0.0,no_imagery
G0060,,False,0.0,no_imagery
G0061,,False,0.0,no_imagery
G0062,,False,0.0,no_imagery
G0063,,False,0.0,no_imagery
G0064,,False,0.0,no_imagery
G0065,,False,0.0,no_imagery
G0066,,False,0.0,no_imagery
G0067,,False,0.0,no_imagery
G0068,,False,0.0,no_imagery
G0069,,False,0.0,no_imagery
G0070,,False,0.0,no_imagery
G0071,,False,0.0,no_imagery
G0072,,False,0.0,no_imagery
G0101,,False,0.0,no_imagery
G0102,,False,0.0,no_imagery
G0103,,False,0.0,no_imagery
G0104,,False,0.0,no_imagery
G0105,,False,0.0,no_imagery
G0106,,False,0.0,no_imagery
G0107,,False,0.0,no_imagery
G0108,,False,0.0,no_imagery
G0109,,False,0.0,no_imagery
G0110,,False,0.0,no_imagery
G0111,,False,0.0,no_imagery
G0112,,False,0.0,no_imagery
G0113,,False,0.0,no_imagery
G0114,,False,0.0,no_imagery
G0115,,False,0.0,no_imagery
G0116,,False,0.0,no_imagery
G0117,,False,0.0,no_imagery
G0118,,False,0.0,no_imagery
G0119,,False,0.0,no_imagery
G0120,,False,0.0,no_imagery
G0121,,False,0.0,no_imagery
G0122,,False,0.0,no_imagery
G0123,,False,0.0,no_imagery
G0124,,False,0.0,no_imagery
G0125,,False,0.0,no_imagery
G0126,,False,0.0,no_imagery
G0127,,False,0.0,no_imagery
G0128,,False,0.0,no_imagery
G0129,,False,0.0,no_imagery
G0158,,False,0.0,no_imagery
G0159,,False,0.0,no_imagery
G0160,,False,0.0,no_imagery
G0161,,False,0.0,no_imagery
G0162,,False,0.0,no_imagery
G0163,,False,0.0,no_imagery
G0164,,False,0.0,no_imagery
G0165,,False,0.0,no_imagery
G0166,,False,0.0,no_imagery
G0167,,False,0.0,no_imagery
G0168,,False,0.0,no_imagery
G0169,,False,0.0,no_imagery
G0170,,False,0.0,no_imagery
G0171,,False,0.0,no_imagery
G0172,,False,0.0,no_imagery
G0173,,False,0.0,no_imagery
G0174,,False,0.0,no_imagery
G0175,,False,0.0,no_imagery
G0176,,False,0.0,no_imagery
G0177,,False,0.0,no_imagery
G0178,,False,0.0,no_imagery
G0179,,False,0.0,no_imagery
G0180,,False,0.0,no_imagery
G0181,,False,0.0,no_imagery
G0182,,False,0.0,no_imagery
G0183,,False,0.0,no_imagery
G0184,,False,0.0,no_imagery
G0185,,False,0.0,no_imagery
G0186,,False,0.0,no_imagery
G0215,,False,0.0,no_imagery
G0216,,False,0.0,no_imagery
G0217,,False,0.0,no_imagery
G0218,,False,0.0,no_imagery
G0219,,False,0.0,no_imagery
G0220,,False,0.0,no_imagery
G0221,,False,0.0,no_imagery
G0222,,False,0.0,no_imagery
G0223,,False,0.0,no_imagery
G0224,,False,0.0,no_imagery
G0225,,False,0.0,no_imagery
G0226,,False,0.0,no_imagery
