l_id,g_id,cpt_id,kept_in_census
L0208,G0208,CPT0208,False
L0209,G0209,CPT0209,False
L0263,G0263,CPT0263,False
L0264,G0264,CPT0264,False
L0267,G0267,CPT0267,False
L0268,G0268,CPT0268,False
L0269,G0269,CPT0269,False
L0270,G0270,CPT0270,False
L0271,G0271,CPT0271,False
L0324,G0324,CPT0324,False
L0325,G0325,CPT0325,False
L0326,G0326,CPT0326,False
L0327,G0327,CPT0327,False
L0436,G0436,CPT0436,False
L0437,G0437,CPT0437,False
L0492,G0492,CPT0492,False
L0549,G0549,CPT0549,False
L0605,G0605,CPT0605,False
L0606,G0606,CPT0606,False
L0608,G0608,CPT0608,False
L0662,G0662,CPT0662,False
L0663,G0663,CPT0663,False
L0664,G0664,CPT0664,False
L0665,G0665,CPT0665,False
L0719,G0719,CPT0719,False
L1114,G1114,CPT1114,True
L1505,G1505,CPT1505,True
L1506,G1506,CPT1506,True
L1562,G1562,CPT1562,True
L1563,G1563,CPT1563,True
L1564,G1564,CPT1564,True
L1565,G1565,CPT1565,True
L1618,G1618,CPT1618,True
L1619,G1619,CPT1619,True
L1620,G1620,CPT1620,True
L1621,G1621,CPT1621,True
L1622,G1622,CPT1622,True
L1674,G1674,CPT1674,True
L1675,G1675,CPT1675,True
L1676,G1676,CPT1676,True
L1677,G1677,CPT1677,True
L1678,G1678,CPT1678,True
L1729,G1729,CPT1729,True
L1730,G1730,CPT1730,True
L1731,G1731,CPT1731,True
L1732,G1732,CPT1732,True
L1733,G1733,CPT1733,True
L1734,G1734,CPT1734,True
L1784,G1784,CPT1784,True
L1785,G1785,CPT1785,True
L1786,G1786,CPT1786,True
L1787,G1787,CPT1787,True
L1790,G1790,CPT1790,True
L1839,G1839,CPT1839,True
L1840,G1840,CPT1840,True
L1841,G1841,CPT1841,True
L1842,G1842,CPT1842,True
L1843,G1843,CPT1843,True
L1844,G1844,CPT1844,True
L1846,G1846,CPT1846,True
L1895,G1895,CPT1895,True
L1896,G1896,CPT1896,True
L1897,G1897,CPT1897,True
L1898,G1898,CPT1898,True
L1899,G1899,CPT1899,True
L1900,G1900,CPT1900,True
L1901,G1901,CPT1901,True
L1902,G1902,CPT1902,True
L1950,G1950,CPT1950,True
L1951,G1951,CPT1951,True
L1952,G1952,CPT1952,True
L1953,G1953,CPT1953,True
L1954,G1954,CPT1954,True
