grid_id,task_name,save_to,map_type,date,zoom_from,zoom_to,left_longitude,right_longitude,top_latitude,bottom_latitude
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2014,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2014,,2014-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2015,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2015,,2015-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2016,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2016,,2016-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2017,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2017,,2017-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2018,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2018,,2018-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2019,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2019,,2019-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2020,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2020,,2020-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2021,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2021,,2021-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2022,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2022,,2022-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2023,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2023,,2023-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2024,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2024,,2024-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
BFN_cbd_BFN0288,BFN_cbd_BFN0288_2025,D:\ZAsolar\geid_raw\vintage_probe\bloemfontein\BFN_cbd_BFN0288\2025,,2025-06-15,18,19,26.2533046699,26.2553745729,-29.1821865656,-29.1839801019
