region_key,anchor_id,stratum,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
bloemfontein,BFN_cbd_BFN0288,cbd,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,~
bloemfontein,BFN_ind_BFN0106,industrial_logistics,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,~
bloemfontein,BFN_res_BFN0213,residential,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,~
durban,DBN_cbd_DBN0403,cbd,Y,Y,Y,Y,Y,Y,Y,Y,Y,~,Y,Y
durban,DBN_ind_DBN0046,industrial_logistics,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
durban,DBN_res_DBN0100,residential,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
east_london,ELS_cbd_ELS0180,cbd,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
east_london,ELS_ind_ELS0228,industrial_logistics,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
east_london,ELS_res_ELS0064,residential,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
gqeberha,GQB_cbd_GQB0203,cbd,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,~
gqeberha,GQB_ind_GQB0153,industrial_logistics,Y,Y,Y,Y,Y,Y,Y,Y,Y,~,Y,~
gqeberha,GQB_res_GQB0219,residential,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,~
pietermaritzburg,PMB_cbd_PMB0102,cbd,Y,Y,Y,Y,Y,Y,Y,Y,~,Y,Y,~
pietermaritzburg,PMB_ind_PMB0090,industrial_logistics,Y,Y,Y,Y,Y,Y,Y,Y,~,Y,Y,~
pietermaritzburg,PMB_res_PMB0042,residential,Y,Y,Y,Y,Y,Y,Y,Y,~,Y,Y,Y
pretoria,PTA_cbd_PTA0292,cbd,Y,Y,Y,Y,Y,~,Y,Y,Y,~,Y,Y
pretoria,PTA_ind_PTA0481,industrial_logistics,Y,Y,Y,Y,Y,Y,Y,Y,Y,~,Y,Y
pretoria,PTA_res_PTA0322,residential,~,Y,Y,Y,Y,Y,~,~,~,Y,Y,~
