region_key,anchor_id,stratum,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
bloemfontein,BFN_cbd_BFN0288,cbd,2014-04-10,2015-05-27,2016-04-18,2017-05-15,2018-05-08,2019-03-01,2020-04-30,2021-04-07,2022-04-15,2023-04-11,2024-01-30,2024-01-30
bloemfontein,BFN_ind_BFN0106,industrial_logistics,2014-04-10,2015-05-27,2016-04-18,2017-05-15,2018-05-08,2019-03-01,2020-04-30,2021-03-26,2022-01-25,2023-04-11,2024-02-10,2024-02-10
bloemfontein,BFN_res_BFN0213,residential,2014-04-10,2015-05-27,2016-04-18,2017-05-15,2018-05-08,2019-03-01,2020-04-30,2021-04-07,2022-04-02,2023-04-11,2024-01-30,2024-01-30
durban,DBN_cbd_DBN0403,cbd,2014-05-08,2015-05-01,2016-05-31,2017-05-09,2018-05-07,2019-05-31,2020-05-11,2021-05-02,2022-05-10,2022-12-10,2024-01-26,2024-01-26
durban,DBN_ind_DBN0046,industrial_logistics,2014-05-08,2015-05-09,2016-05-12,2017-05-10,2018-05-13,2019-04-11,2020-01-31,2021-05-27,2022-05-16,2023-01-04,2024-01-26,2025-02-22
durban,DBN_res_DBN0100,residential,2014-05-08,2015-05-01,2016-05-31,2017-05-10,2018-05-07,2019-05-31,2020-05-11,2021-05-02,2022-05-10,2023-01-04,2024-01-26,2025-01-29
east_london,ELS_cbd_ELS0180,cbd,2014-04-13,2015-06-13,2016-05-04,2017-05-10,2018-06-01,2019-06-10,2020-05-28,2021-06-14,2022-05-16,2023-05-28,2024-03-06,2024-03-06
east_london,ELS_ind_ELS0228,industrial_logistics,2014-04-13,2015-06-13,2016-05-04,2017-05-10,2018-06-01,2019-05-11,2020-05-28,2021-06-14,2022-05-16,2023-05-28,2024-03-06,2024-03-06
east_london,ELS_res_ELS0064,residential,2014-04-13,2015-06-10,2016-02-29,2017-05-10,2018-05-06,2019-06-15,2020-05-28,2021-03-22,2022-02-08,2023-04-10,2024-02-12,2025-03-12
gqeberha,GQB_cbd_GQB0203,cbd,2014-04-13,2015-06-10,2016-05-12,2017-04-03,2018-05-19,2019-06-14,2020-06-14,2021-05-27,2022-02-08,2023-02-23,2024-04-04,2024-04-04
gqeberha,GQB_ind_GQB0153,industrial_logistics,2014-04-13,2015-06-10,2016-04-18,2017-04-12,2018-06-10,2019-06-10,2020-06-11,2021-04-07,2022-05-11,2022-12-31,2024-02-12,2024-02-12
gqeberha,GQB_res_GQB0219,residential,2014-04-13,2015-06-10,2016-04-18,2017-04-12,2018-06-10,2019-06-10,2020-06-11,2021-04-07,2022-05-11,2023-05-10,2024-03-22,2024-03-22
pietermaritzburg,PMB_cbd_PMB0102,cbd,2014-05-31,2015-03-16,2016-03-15,2017-05-31,2018-02-16,2019-05-12,2020-02-26,2021-01-19,2021-07-16,2023-04-20,2024-03-01,2024-03-01
pietermaritzburg,PMB_ind_PMB0090,industrial_logistics,2014-05-31,2015-05-24,2016-03-15,2017-05-31,2018-02-16,2019-05-12,2020-02-26,2021-01-19,2021-07-16,2023-04-20,2024-03-01,2024-03-01
pietermaritzburg,PMB_res_PMB0042,residential,2014-05-31,2015-05-24,2016-03-15,2017-04-29,2018-02-16,2019-01-18,2020-05-23,2021-01-19,2021-08-29,2023-04-20,2024-03-01,2025-03-20
pretoria,PTA_cbd_PTA0292,cbd,2014-05-05,2015-05-11,2016-05-28,2017-05-04,2018-05-20,2018-11-09,2020-01-20,2021-03-11,2022-05-05,2022-10-11,2024-03-03,2025-03-08
pretoria,PTA_ind_PTA0481,industrial_logistics,2014-05-05,2015-05-11,2016-05-28,2017-05-04,2018-04-03,2019-02-20,2020-01-20,2021-03-11,2022-05-11,2022-10-11,2024-03-03,2025-03-08
pretoria,PTA_res_PTA0322,residential,2013-09-12,2015-05-03,2016-05-28,2017-05-04,2018-03-14,2019-05-13,2019-11-30,2019-11-30,2021-08-30,2023-01-28,2024-02-22,2024-02-22
