region_key,requested_year,anchors,exact_hits
bloemfontein,2014,3,3
bloemfontein,2015,3,3
bloemfontein,2016,3,3
bloemfontein,2017,3,3
bloemfontein,2018,3,3
bloemfontein,2019,3,3
bloemfontein,2020,3,3
bloemfontein,2021,3,3
bloemfontein,2022,3,3
bloemfontein,2023,3,3
bloemfontein,2024,3,3
bloemfontein,2025,3,0
durban,2014,3,3
durban,2015,3,3
durban,2016,3,3
durban,2017,3,3
durban,2018,3,3
durban,2019,3,3
durban,2020,3,3
durban,2021,3,3
durban,2022,3,3
durban,2023,3,2
durban,2024,3,3
durban,2025,3,3
east_london,2014,3,3
east_london,2015,3,3
east_london,2016,3,3
east_london,2017,3,3
east_london,2018,3,3
east_london,2019,3,3
east_london,2020,3,3
east_london,2021,3,3
east_london,2022,3,3
east_london,2023,3,3
east_london,2024,3,3
east_london,2025,3,3
gqeberha,2014,3,3
gqeberha,2015,3,3
gqeberha,2016,3,3
gqeberha,2017,3,3
gqeberha,2018,3,3
gqeberha,2019,3,3
gqeberha,2020,3,3
gqeberha,2021,3,3
gqeberha,2022,3,3
gqeberha,2023,3,2
gqeberha,2024,3,3
gqeberha,2025,3,0
pietermaritzburg,2014,3,3
pietermaritzburg,2015,3,3
pietermaritzburg,2016,3,3
pietermaritzburg,2017,3,3
pietermaritzburg,2018,3,3
pietermaritzburg,2019,3,3
pietermaritzburg,2020,3,3
pietermaritzburg,2021,3,3
pietermaritzburg,2022,3,0
pietermaritzburg,2023,3,3
pietermaritzburg,2024,3,3
pietermaritzburg,2025,3,1
pretoria,2014,3,2
pretoria,2015,3,3
pretoria,2016,3,3
pretoria,2017,3,3
pretoria,2018,3,3
pretoria,2019,3,2
pretoria,2020,3,2
pretoria,2021,3,2
pretoria,2022,3,2
pretoria,2023,3,1
pretoria,2024,3,3
pretoria,2025,3,2
