gridcell_id,region_key,primary_source,fallback_source,imagery_plan,lon,lat,n_buildings,vexcel_fraction,status,source_used,downloaded_at,error
BCM1357,east_london,vexcel_east_london_2026,,vexcel_partial,27.893098735197416,-32.92656736426568,1,0.3197,pending,,,
BCM1358,east_london,vexcel_east_london_2026,,vexcel_partial,27.90379338304525,-32.926490481033404,1783,0.7356,pending,,,
BCM1359,east_london,vexcel_east_london_2026,,vexcel_partial,27.91448798999192,-32.92641268286053,57,0.7356,pending,,,
BCM1360,east_london,vexcel_east_london_2026,,vexcel_partial,27.925182555553704,-32.92633396975898,87,0.7356,pending,,,
BCM1361,east_london,vexcel_east_london_2026,,vexcel_partial,27.93587707924691,-32.926254341740794,131,0.7356,pending,,,
BCM1362,east_london,vexcel_east_london_2026,,vexcel_partial,27.946571560587852,-32.926173798818205,25,0.7356,pending,,,
BCM1363,east_london,vexcel_east_london_2026,,vexcel_partial,27.957265999092854,-32.92609234100355,184,0.7356,pending,,,
BCM1364,east_london,vexcel_east_london_2026,,vexcel_partial,27.967960394278254,-32.92600996830933,174,0.2806,pending,,,
BCM1411,east_london,vexcel_east_london_2026,,vexcel_partial,27.79692601911175,-32.93623774082737,68,0.3156,pending,,,
BCM1412,east_london,vexcel_east_london_2026,,vexcel_partial,27.80762209849719,-32.936169069018284,32,0.4254,pending,,,
BCM1413,east_london,vexcel_east_london_2026,,vexcel_partial,27.818318141320216,-32.936099481853624,24,0.5996,pending,,,
BCM1414,east_london,vexcel_east_london_2026,,vexcel_partial,27.829014147096807,-32.936028979344044,43,0.5996,pending,,,
BCM1415,east_london,vexcel_east_london_2026,,vexcel_partial,27.839710115342974,-32.93595756150037,3,0.519,pending,,,
BCM1416,east_london,vexcel_east_london_2026,,vexcel_partial,27.85040604557473,-32.93588522833356,0,0.5996,pending,,,
BCM1417,east_london,vexcel_east_london_2026,,vexcel_partial,27.861101937308092,-32.935811979854684,13,0.5996,pending,,,
BCM1418,east_london,vexcel_east_london_2026,,vexcel_partial,27.871797790059105,-32.93573781607497,6,0.5996,pending,,,
BCM1419,east_london,vexcel_east_london_2026,,vexcel_partial,27.88249360334381,-32.93566273700581,2,0.5996,pending,,,
BCM1420,east_london,vexcel_east_london_2026,,vexcel_partial,27.893189376678258,-32.9355867426587,16,0.8543,pending,,,
BCM1421,east_london,vexcel_east_london_2026,,vexcel_full,27.90388510957852,-32.93550983304529,507,1.0,pending,,,
BCM1422,east_london,vexcel_east_london_2026,,vexcel_full,27.914580801560682,-32.935432008177365,65,1.0,pending,,,
BCM1423,east_london,vexcel_east_london_2026,,vexcel_full,27.925276452140825,-32.93535326806687,36,1.0,pending,,,
BCM1424,east_london,vexcel_east_london_2026,,vexcel_full,27.935972060835056,-32.93527361272588,177,1.0,pending,,,
BCM1425,east_london,vexcel_east_london_2026,,vexcel_full,27.946667627159485,-32.93519304216659,128,1.0,pending,,,
BCM1426,east_london,vexcel_east_london_2026,,vexcel_full,27.957363150630236,-32.93511155640136,192,1.0,pending,,,
BCM1427,east_london,vexcel_east_london_2026,,vexcel_partial,27.968058630763455,-32.935029155442685,59,0.401,pending,,,
BCM1472,east_london,vexcel_east_london_2026,,vexcel_partial,27.775612492543736,-32.94539197299804,2144,0.0917,pending,,,
BCM1473,east_london,vexcel_east_london_2026,,vexcel_partial,27.78630972931149,-32.9453251089991,618,0.7378,pending,,,
BCM1474,east_london,vexcel_east_london_2026,,vexcel_full,27.79700693047013,-32.94525732930966,0,1.0,pending,,,
BCM1475,east_london,vexcel_east_london_2026,,vexcel_full,27.807704095535417,-32.94518863394009,0,1.0,pending,,,
BCM1476,east_london,vexcel_east_london_2026,,vexcel_full,27.81840122402314,-32.945119022900926,1,1.0,pending,,,
BCM1477,east_london,vexcel_east_london_2026,,vexcel_full,27.829098315449098,-32.94504849620287,37,1.0,pending,,,
