gridcell_id,region_key,primary_source,fallback_source,imagery_plan,lon,lat,n_buildings,vexcel_fraction,status,source_used,downloaded_at,error
NMB0552,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.408352522947474,-33.70423534336879,0,0.1982,pending,,,
NMB0600,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.354769535904527,-33.71266455150512,0,0.9311,pending,,,
NMB0601,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.365033486645803,-33.7126874142738,0,0.941,pending,,,
NMB0602,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.375821541737857,-33.712829772999875,0,0.941,pending,,,
NMB0603,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.386609672355245,-33.71297119005375,1,0.9524,pending,,,
NMB0604,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.397397877997225,-33.713111665413464,0,0.9483,pending,,,
NMB0605,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.408186158163026,-33.71325119905725,14,0.9912,pending,,,
NMB0606,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.418974512351856,-33.713389790963454,13,0.941,pending,,,
NMB0607,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.429762940062904,-33.713527441110614,20,0.941,pending,,,
NMB0608,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.44055144079534,-33.713664149477346,35,0.4502,pending,,,
NMB0651,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.333852685720377,-33.72179409450017,16,0.3567,pending,,,
NMB0652,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.34328440566466,-33.7214154251552,12,0.481,pending,,,
NMB0653,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.354073434885006,-33.7215597160434,2,0.9946,pending,,,
NMB0654,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.364862540664515,-33.72170306498471,65,1.0,pending,,,
NMB0655,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.37565172250227,-33.721845471956904,0,1.0,pending,,,
NMB0656,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.38644097989734,-33.72198693693789,0,1.0,pending,,,
NMB0657,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.397230312348757,-33.72212745990575,208,1.0,pending,,,
NMB0658,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.408019719355547,-33.722267040838666,0,1.0,pending,,,
NMB0659,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.418809200416707,-33.722405679715,36,1.0,pending,,,
NMB0660,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.42959875503121,-33.72254337651326,32,1.0,pending,,,
NMB0661,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.44038838269801,-33.72268013121206,0,0.7293,pending,,,
NMB0662,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.45117808291605,-33.72281594379022,2,0.481,pending,,,
NMB0663,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.46196785518424,-33.722950814226664,0,0.3918,pending,,,
NMB0702,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.332323854070438,-33.7302881388681,4,0.7415,pending,,,
NMB0703,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.34311112922867,-33.73043096444868,87,1.0,pending,,,
NMB0704,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.35390128563103,-33.730575304230946,303,1.0,pending,,,
NMB0705,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.364691518624973,-33.73071870174731,1772,1.0,pending,,,
NMB0706,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.37548182770937,-33.730861156975514,947,1.0,pending,,,
NMB0707,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.386272212383073,-33.73100266989346,2542,1.0,pending,,,
NMB0708,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.397062672144912,-33.73114324047923,3419,1.0,pending,,,
NMB0709,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.407853206493694,-33.731282868710984,592,1.0,pending,,,
NMB0710,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.418643814928206,-33.73142155456707,549,1.0,pending,,,
NMB0711,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.42943449694721,-33.73155929802599,162,1.0,pending,,,
NMB0712,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.440225252049448,-33.73169609906636,0,1.0,pending,,,
NMB0713,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.45101607973365,-33.73183195766699,0,1.0,pending,,,
NMB0714,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.46180697949851,-33.731966873806776,2,0.8145,pending,,,
NMB0750,gqeberha,vexcel_gqeberha_2026,,vexcel_partial,25.33214656873985,-33.73930115852278,37,0.7415,pending,,,
NMB0751,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.342937775699987,-33.73944648977174,1,1.0,pending,,,
NMB0752,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.353729059785465,-33.7395908784581,101,1.0,pending,,,
NMB0753,gqeberha,vexcel_gqeberha_2026,,vexcel_full,25.364520420494973,-33.739734324559464,1561,1.0,pending,,,
