gridcell_id,region_key,primary_source,fallback_source,imagery_plan,lon,lat,n_buildings,vexcel_fraction,status,source_used,downloaded_at,error
JHB0011,joburg,coj_aerial_2023,,aerial_needed,28.024768932883543,-25.915936921031403,325,0.0,pending,,,
JHB0013,joburg,coj_aerial_2023,,aerial_needed,27.913999090809792,-25.92719180299081,260,0.0,pending,,,
JHB0014,joburg,coj_aerial_2023,,aerial_needed,27.92387522974308,-25.926968191918267,448,0.0,pending,,,
JHB0021,joburg,coj_aerial_2023,,aerial_needed,28.005821163993346,-25.925665465993703,1076,0.0,pending,,,
JHB0022,joburg,coj_aerial_2023,,aerial_needed,28.014129095483156,-25.92341092781431,4766,0.0,pending,,,
JHB0023,joburg,coj_aerial_2023,,aerial_needed,28.023499882960014,-25.922486511233664,2212,0.0,pending,,,
JHB0027,joburg,coj_aerial_2023,,aerial_needed,28.17409966146539,-25.923946373993658,98,0.0,pending,,,
JHB0030,joburg,coj_aerial_2023,,aerial_needed,27.91382034202577,-25.932288932773044,251,0.0,pending,,,
JHB0031,joburg,coj_aerial_2023,,aerial_needed,27.923727524268763,-25.932186023380186,930,0.0,pending,,,
JHB0032,joburg,coj_aerial_2023,,aerial_needed,27.933709845520358,-25.93212472682968,93,0.0,pending,,,
JHB0037,joburg,coj_aerial_2023,,aerial_needed,27.983222499971138,-25.931945587353493,73,0.0,pending,,,
JHB0038,joburg,coj_aerial_2023,,aerial_needed,27.994465891535672,-25.933312549545878,1485,0.0,pending,,,
JHB0039,joburg,coj_aerial_2023,,aerial_needed,28.003650434980646,-25.931694520443298,6327,0.0,pending,,,
JHB0040,joburg,coj_aerial_2023,,aerial_needed,28.013593002692623,-25.93158521227545,6647,0.0,pending,,,
JHB0041,joburg,coj_aerial_2023,,aerial_needed,28.023577876639234,-25.93151501601267,1755,0.0,pending,,,
JHB0043,joburg,coj_aerial_2023,,aerial_needed,28.042780928740637,-25.93247972932175,148,0.0,pending,,,
JHB0044,joburg,coj_aerial_2023,,aerial_needed,28.053700301104787,-25.93330747268785,234,0.0,pending,,,
JHB0045,joburg,coj_aerial_2023,,aerial_needed,28.063657513108268,-25.93278824040399,179,0.0,pending,,,
JHB0046,joburg,coj_aerial_2023,,aerial_needed,28.073879248971394,-25.93190535663141,248,0.0,pending,,,
JHB0047,joburg,coj_aerial_2023,,aerial_needed,28.08348632704363,-25.931079393741047,70,0.0,pending,,,
JHB0048,joburg,coj_aerial_2023,,aerial_needed,28.093496844400903,-25.931128947337882,84,0.0,pending,,,
JHB0049,joburg,coj_aerial_2023,,aerial_needed,28.102702689224525,-25.931117557480896,990,0.0,pending,,,
JHB0050,joburg,coj_aerial_2023,,aerial_needed,28.144798612545824,-25.933828065246868,80,0.0,pending,,,
JHB0051,joburg,coj_aerial_2023,,aerial_needed,28.153913137426304,-25.932161463629978,75,0.0,pending,,,
JHB0052,joburg,coj_aerial_2023,,aerial_needed,28.16352343046464,-25.930644788540654,195,0.0,pending,,,
JHB0053,joburg,coj_aerial_2023,,aerial_needed,28.173227240486845,-25.930301061541694,299,0.0,pending,,,
JHB0054,joburg,coj_aerial_2023,,aerial_needed,27.913833442748828,-25.94126570591876,64,0.0,pending,,,
JHB0056,joburg,coj_aerial_2023,,aerial_needed,27.933783899111447,-25.94115075381955,154,0.0,pending,,,
JHB0061,joburg,coj_aerial_2023,,aerial_needed,27.98371314878,-25.940820277521095,576,0.0,pending,,,
JHB0062,joburg,coj_aerial_2023,,aerial_needed,27.993698892963728,-25.940752117706207,2160,0.0,pending,,,
JHB0063,joburg,coj_aerial_2023,,aerial_needed,28.00368460105156,-25.940683269728314,3861,0.0,pending,,,
JHB0064,joburg,coj_aerial_2023,,aerial_needed,28.013670272681,-25.94061373359705,4713,0.0,pending,,,
JHB0065,joburg,coj_aerial_2023,,aerial_needed,28.023655907489537,-25.940543509322172,277,0.0,pending,,,
JHB0066,joburg,coj_aerial_2023,,aerial_needed,28.03364150511468,-25.940472596913505,185,0.0,pending,,,
