gridcell_id,region_key,primary_source,fallback_source,imagery_plan,lon,lat,n_buildings,vexcel_fraction,status,source_used,downloaded_at,error
MSU0001,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.41857264025466,-29.5221450626335,2,0.4104,pending,,,
MSU0002,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.425169818771167,-29.52278703541721,0,0.1425,pending,,,
MSU0003,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.41704811486894,-29.530205861247044,0,1.0,pending,,,
MSU0004,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.42559396024199,-29.530258894298235,225,1.0,pending,,,
MSU0005,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.431471985516442,-29.53039139079131,8,0.1335,pending,,,
MSU0006,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.386588577267677,-29.541074594060568,104,1.0,pending,,,
MSU0007,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.394304337384106,-29.54016222032301,1143,1.0,pending,,,
MSU0008,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.404611742989616,-29.540940123461088,480,1.0,pending,,,
MSU0009,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.4153808305742,-29.539353575795456,193,1.0,pending,,,
MSU0010,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.42536543458812,-29.539274995627217,2082,1.0,pending,,,
MSU0011,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.432671893699325,-29.54059215309682,293,0.7872,pending,,,
MSU0012,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.334176903873637,-29.54992321416512,0,0.0691,pending,,,
MSU0013,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.343125852705175,-29.548837962348358,4,0.6159,pending,,,
MSU0014,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.35315985643742,-29.548006192897432,1,1.0,pending,,,
MSU0015,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.36319455387869,-29.547575909078247,53,1.0,pending,,,
MSU0016,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.37220386960568,-29.549532461390474,6,1.0,pending,,,
MSU0017,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.385560638349773,-29.548116327320894,744,1.0,pending,,,
MSU0018,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.39420298854073,-29.54768762540052,2123,1.0,pending,,,
MSU0019,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.404514155898116,-29.547889576908073,1427,1.0,pending,,,
MSU0020,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.414825428156774,-29.548090729485445,1819,1.0,pending,,,
MSU0021,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.425136804901733,-29.5482910831033,3709,1.0,pending,,,
MSU0022,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.435448285718035,-29.54849063773241,2560,1.0,pending,,,
MSU0023,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.442328247148712,-29.549967972414358,953,0.9264,pending,,,
MSU0025,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_partial,30.332141076466463,-29.555512148853474,180,0.3552,pending,,,
MSU0026,pietermaritzburg,vexcel_pietermaritzburg_2025,,vexcel_full,30.34241269904745,-29.55568136535591,141,0.9955,pending,,,
