gridcell_id,region_key,primary_source,fallback_source,imagery_plan,lon,lat,n_buildings,vexcel_fraction,status,source_used,downloaded_at,error
TSH2637,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.130495773811404,-25.623732946483507,0,0.2161,pending,,,
TSH2638,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.140454528549952,-25.623655558221092,0,0.5674,pending,,,
TSH2639,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.150413242231824,-25.623577491530355,1,0.564,pending,,,
TSH2640,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.16037191449878,-25.623498746422193,18,0.5643,pending,,,
TSH2641,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.1703305449926,-25.623419322907598,15,0.5973,pending,,,
TSH2642,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.18028913335506,-25.62333922099765,58,0.6059,pending,,,
TSH2643,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.190247679227962,-25.623258440703534,81,0.5951,pending,,,
TSH2644,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.200206182253105,-25.623176982036536,459,0.5961,pending,,,
TSH2645,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.210164642072296,-25.623094845008026,245,0.6051,pending,,,
TSH2646,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.22012305832736,-25.62301202962945,291,0.6359,pending,,,
TSH2647,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.230081430660125,-25.622928535912393,22,0.5844,pending,,,
TSH2648,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.240039758712424,-25.622844363868495,7,0.6021,pending,,,
TSH2649,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.249998042126112,-25.622759513509514,0,0.5877,pending,,,
TSH2650,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.259956280543047,-25.62267398484728,0,0.5789,pending,,,
TSH2651,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.26991447360509,-25.622587777893752,0,0.5773,pending,,,
TSH2652,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.27987262095413,-25.622500892660945,0,0.5588,pending,,,
TSH2726,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.130580781567044,-25.632761503513503,384,0.7384,pending,,,
TSH2727,pretoria,vexcel_pretoria_2026,,vexcel_full,28.140540284761325,-25.632684084102127,341,1.0,pending,,,
TSH2728,pretoria,vexcel_pretoria_2026,,vexcel_full,28.15049974688548,-25.632605985989393,6,1.0,pending,,,
TSH2729,pretoria,vexcel_pretoria_2026,,vexcel_full,28.160459167581156,-25.632527209186204,26,1.0,pending,,,
TSH2730,pretoria,vexcel_pretoria_2026,,vexcel_full,28.170418546490005,-25.63244775370357,42,1.0,pending,,,
TSH2731,pretoria,vexcel_pretoria_2026,,vexcel_full,28.180377883253705,-25.632367619552568,17,1.0,pending,,,
TSH2732,pretoria,vexcel_pretoria_2026,,vexcel_full,28.19033717751392,-25.6322868067444,0,1.0,pending,,,
TSH2733,pretoria,vexcel_pretoria_2026,,vexcel_full,28.200296428912342,-25.63220531529034,296,1.0,pending,,,
TSH2734,pretoria,vexcel_pretoria_2026,,vexcel_full,28.21025563709066,-25.63212314520176,185,1.0,pending,,,
TSH2735,pretoria,vexcel_pretoria_2026,,vexcel_full,28.220214801690577,-25.632040296490143,18,1.0,pending,,,
TSH2736,pretoria,vexcel_pretoria_2026,,vexcel_full,28.23017392235381,-25.63195676916705,0,1.0,pending,,,
TSH2737,pretoria,vexcel_pretoria_2026,,vexcel_full,28.240132998722075,-25.631872563244144,0,1.0,pending,,,
TSH2738,pretoria,vexcel_pretoria_2026,,vexcel_full,28.250092030437106,-25.631787678733176,5,1.0,pending,,,
TSH2739,pretoria,vexcel_pretoria_2026,,vexcel_full,28.26005101714064,-25.631702115645997,0,1.0,pending,,,
TSH2740,pretoria,vexcel_pretoria_2026,,vexcel_full,28.270009958474436,-25.63161587399455,1,1.0,pending,,,
TSH2741,pretoria,vexcel_pretoria_2026,,vexcel_full,28.27996885408024,-25.631528953790884,0,0.9981,pending,,,
TSH2818,pretoria,vexcel_pretoria_2026,,vexcel_partial,28.120705537300964,-25.641866820701996,565,0.6769,pending,,,
TSH2819,pretoria,vexcel_pretoria_2026,,vexcel_full,28.13066583003445,-25.641790049122335,771,1.0,pending,,,
