chip_id,archetype,archetype_confidence,region,imagery_layer,grid_id,detector,source_run,source_pred_id,bbox_geo_wkt,preview_path,added_date,notes,training_eligible
johannesburg_G0772_v3c_p0000,ground_road_marking,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0000,"POLYGON ((28.014672696590424 -26.21220007538795, 28.014672696590424 -26.212075352668766, 28.014534562826157 -26.212075352668766, 28.014534562826157 -26.21220007538795, 28.014672696590424 -26.21220007538795))",previews/ground_road_marking/johannesburg_G0772_v3c_p0000.png,2026-05-13,,false
johannesburg_G0772_v3c_p0001,hvac_rooftop_equipment,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0001,"POLYGON ((28.014299869537354 -26.213004738092426, 28.014299869537354 -26.212984621524814, 28.014274388551716 -26.212984621524814, 28.014274388551716 -26.213004738092426, 28.014299869537354 -26.213004738092426))",previews/hvac_rooftop_equipment/johannesburg_G0772_v3c_p0001.png,2026-05-13,,false
johannesburg_G0772_v3c_p0002,hvac_rooftop_equipment,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0002,"POLYGON ((28.01333025097847 -26.213401705026627, 28.01333025097847 -26.213378906249996, 28.013306111097336 -26.213378906249996, 28.013306111097336 -26.213401705026627, 28.01333025097847 -26.213401705026627))",previews/hvac_rooftop_equipment/johannesburg_G0772_v3c_p0002.png,2026-05-13,,false
johannesburg_G0772_v3c_p0004,ground_road_marking,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0004,"POLYGON ((28.013810366392136 -26.213846951723102, 28.013810366392136 -26.21369808912277, 28.0136775970459 -26.21369808912277, 28.0136775970459 -26.213846951723102, 28.013810366392136 -26.213846951723102))",previews/ground_road_marking/johannesburg_G0772_v3c_p0004.png,2026-05-13,,false
johannesburg_G0772_v3c_p0006,ground_road_marking,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0006,"POLYGON ((28.01521986722946 -26.21219873428345, 28.01521986722946 -26.21201232075691, 28.015077710151672 -26.21201232075691, 28.015077710151672 -26.21219873428345, 28.01521986722946 -26.21219873428345))",previews/ground_road_marking/johannesburg_G0772_v3c_p0006.png,2026-05-13,,false
johannesburg_G0772_v3c_p0010,ground_road_marking,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0010,"POLYGON ((28.015560507774353 -26.21285989880562, 28.015560507774353 -26.21269628405571, 28.0154250562191 -26.21269628405571, 28.0154250562191 -26.21285989880562, 28.015560507774353 -26.21285989880562))",previews/ground_road_marking/johannesburg_G0772_v3c_p0010.png,2026-05-13,,false
johannesburg_G0772_v3c_p0012,roof_shadow_dark_fixture,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0012,"POLYGON ((28.020358979701996 -26.21264532208443, 28.020358979701996 -26.21245354413986, 28.020265102386475 -26.21245354413986, 28.020265102386475 -26.21264532208443, 28.020358979701996 -26.21264532208443))",previews/roof_shadow_dark_fixture/johannesburg_G0772_v3c_p0012.png,2026-05-13,,false
johannesburg_G0772_v3c_p0014,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0014,"POLYGON ((28.013646751642227 -26.215719133615494, 28.013646751642227 -26.215660125017163, 28.01359847187996 -26.215660125017163, 28.01359847187996 -26.215719133615494, 28.013646751642227 -26.215719133615494))",previews/corrugated_metal_roof/johannesburg_G0772_v3c_p0014.png,2026-05-13,,false
johannesburg_G0772_v3c_p0015,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0015,"POLYGON ((28.012949377298355 -26.215751320123676, 28.012949377298355 -26.215567588806145, 28.012773692607883 -26.215567588806145, 28.012773692607883 -26.215751320123676, 28.012949377298355 -26.215751320123676))",previews/corrugated_metal_roof/johannesburg_G0772_v3c_p0015.png,2026-05-13,,false
johannesburg_G0772_v3c_p0019,corrugated_metal_roof,A2,johannesburg,geid_2024_02,G0772,v3c,cls_pv_thermal_v2,0019,"POLYGON ((28.01339864730835 -26.216420531272888, 28.01339864730835 -26.215959191322323, 28.013138473033905 -26.215959191322323, 28.013138473033905 -26.216420531272888, 28.01339864730835 -26.216420531272888))",previews/corrugated_metal_roof/johannesburg_G0772_v3c_p0019.png,2026-05-13,,false
