poly_id,region,grid_id,imagery_layer,source_file,source_layer,source_id,label_source,quality_tier,semantic_confidence,boundary_trust,mask_trusted,added_date,archived,archived_reason,notes
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_001,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_001,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_002,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_002,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_003,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_003,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_004,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_004,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_005,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_005,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_006,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_006,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_007,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_007,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_008,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_008,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_009,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_009,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_010,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_010,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
cape_town:G1189:sam_residential_g1189_mosa_109_rgb255105180:G1189_011,cape_town,G1189,aerial_2025,G1189_SAM2_260320.gpkg,sam_residential_g1189_mosa_109_rgb255105180,G1189_011,human_manual_sam_assisted,T2,,trusted,True,2026-05-29,False,,
