poly_id,region,grid_id,imagery_layer,source_file,source_layer,source_id,label_source,quality_tier,semantic_confidence,boundary_trust,mask_trusted,added_date,archived,archived_reason,notes
johannesburg:G0772:G0772_V4_260407:0,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,0,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:1,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,1,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:2,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,2,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:3,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,3,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:4,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,4,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:5,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,5,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:6,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,6,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:7,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,7,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:8,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,8,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
johannesburg:G0772:G0772_V4_260407:9,johannesburg,G0772,aerial_2023,G0772_V4_260407.gpkg,G0772_V4_260407,9,reviewed_prediction,,,untrusted,False,2026-05-29,True,aerial_2023 vintage/GSD mismatch vs vexcel_2024 base (2026-05-29 decision),
