grid,B_m2,A_V3-C+SAM,inter_V3-C+SAM,ratio_V3-C+SAM,area_R_V3-C+SAM,area_P_V3-C+SAM,area_F1_V3-C+SAM,A_train20_val5_hn per-det+SAM,inter_train20_val5_hn per-det+SAM,ratio_train20_val5_hn per-det+SAM,area_R_train20_val5_hn per-det+SAM,area_P_train20_val5_hn per-det+SAM,area_F1_train20_val5_hn per-det+SAM
G0772,3472.93,4140.45,3081.66,1.1922,0.8873,0.7443,0.8095,6139.05,3148.02,1.7677,0.9064,0.5128,0.655
G0773,2272.29,2128.33,2051.08,0.9366,0.9026,0.9637,0.9322,3571.73,1946.47,1.5719,0.8566,0.545,0.6661
G0774,17407.92,16243.6,14828.14,0.9331,0.8518,0.9129,0.8813,20406.12,16337.86,1.1722,0.9385,0.8006,0.8641
G0775,4864.5,5352.02,4388.84,1.1002,0.9022,0.82,0.8592,6110.99,4582.57,1.2562,0.942,0.7499,0.8351
G0776,579.35,584.91,343.18,1.0096,0.5924,0.5867,0.5895,2621.3,416.37,4.5246,0.7187,0.1588,0.2602
G0814,9241.94,10570.96,8819.31,1.1438,0.9543,0.8343,0.8903,11063.37,8814.69,1.1971,0.9538,0.7967,0.8682
G0815,1435.76,2191.61,1313.5,1.5264,0.9148,0.5993,0.7242,3355.67,1302.48,2.3372,0.9072,0.3881,0.5437
G0816,14534.04,12414.89,9329.07,0.8542,0.6419,0.7514,0.6924,18464.81,13699.52,1.2705,0.9426,0.7419,0.8303
G0817,5048.7,6148.12,4079.57,1.2178,0.808,0.6635,0.7287,7675.08,4553.28,1.5202,0.9019,0.5933,0.7157
G0818,4107.71,5101.92,3631.35,1.242,0.884,0.7118,0.7886,6692.77,3801.97,1.6293,0.9256,0.5681,0.704
G0853,666.82,1128.3,610.81,1.6921,0.916,0.5414,0.6805,1900.8,602.91,2.8506,0.9042,0.3172,0.4696
G0854,8784.17,10541.29,8191.35,1.2,0.9325,0.7771,0.8477,12220.23,8499.28,1.3912,0.9676,0.6955,0.8093
G0855,5885.72,5783.97,4955.89,0.9827,0.842,0.8568,0.8494,7191.96,5472.06,1.2219,0.9297,0.7609,0.8369
G0856,6162.92,6363.09,5715.85,1.0325,0.9275,0.8983,0.9126,7027.39,5904.15,1.1403,0.958,0.8402,0.8952
G0857,5168.1,4921.32,3798.0,0.9522,0.7349,0.7717,0.7529,8527.37,4853.93,1.65,0.9392,0.5692,0.7088
G0888,5141.56,5246.75,4632.31,1.0205,0.901,0.8829,0.8918,5414.65,4622.15,1.0531,0.899,0.8536,0.8757
G0889,8198.85,6696.06,5380.29,0.8167,0.6562,0.8035,0.7224,9762.08,6805.33,1.1907,0.83,0.6971,0.7578
G0890,6761.22,7226.73,5844.42,1.0689,0.8644,0.8087,0.8356,7674.35,6336.11,1.1351,0.9371,0.8256,0.8778
G0891,1225.84,1308.01,786.92,1.067,0.6419,0.6016,0.6211,1949.15,1091.8,1.59,0.8906,0.5601,0.6877
G0892,1607.7,1730.66,1486.62,1.0765,0.9247,0.859,0.8906,1934.13,1469.0,1.203,0.9137,0.7595,0.8295
G0922,12948.04,12971.05,11944.65,1.0018,0.9225,0.9209,0.9217,13367.07,12295.19,1.0324,0.9496,0.9198,0.9345
G0923,7571.94,7430.17,6649.77,0.9813,0.8782,0.895,0.8865,7855.72,6953.56,1.0375,0.9183,0.8852,0.9014
G0924,13209.08,11636.86,10328.54,0.881,0.7819,0.8876,0.8314,18664.61,12287.2,1.413,0.9302,0.6583,0.771
G0925,5822.65,2862.48,2091.31,0.4916,0.3592,0.7306,0.4816,5126.63,4179.82,0.8805,0.7179,0.8153,0.7635
G0926,846.59,959.75,711.37,1.1337,0.8403,0.7412,0.7876,1296.12,706.54,1.531,0.8346,0.5451,0.6595
