Name,pred_area,n_poly,kw_total,n_install,kw_resi,n_resi,kw_com,n_com
G1457,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
G1570,2664.6675630226428,143,0.0,0.0,0.0,0.0,0.0,0.0
G1571,656.7800063919998,35,0.0,0.0,0.0,0.0,0.0,0.0
G1572,3429.5406013743223,151,0.0,0.0,0.0,0.0,0.0,0.0
G1630,2598.41356951304,109,0.0,0.0,0.0,0.0,0.0,0.0
G1631,6744.994753064109,302,0.0,0.0,0.0,0.0,0.0,0.0
G1632,1568.2304623518014,82,0.0,0.0,0.0,0.0,0.0,0.0
G1633,2634.1315103448696,132,0.0,0.0,0.0,0.0,0.0,0.0
G1634,8338.667239457063,313,0.0,0.0,0.0,0.0,0.0,0.0
G1855,8611.424976451006,385,0.0,0.0,0.0,0.0,0.0,0.0
G1856,740.58837008058,39,0.0,0.0,0.0,0.0,0.0,0.0
G1862,1987.143611529659,80,0.0,0.0,0.0,0.0,0.0,0.0
G1863,2870.444400390881,156,0.0,0.0,0.0,0.0,0.0,0.0
G1864,628.4811184682819,36,0.0,0.0,0.0,0.0,0.0,0.0
G1909,1479.738780220122,34,24.0,1.0,24.0,1.0,0.0,0.0
G1910,2020.0569324121204,53,29.0,1.0,0.0,0.0,29.0,1.0
G1911,568.3762760192508,7,0.0,0.0,0.0,0.0,0.0,0.0
G1917,2255.662224302833,107,15.5,3.0,15.5,3.0,0.0,0.0
G1918,2811.081160257432,132,4.55,1.0,4.55,1.0,0.0,0.0
G1919,6947.109059890593,174,8.0,1.0,8.0,1.0,0.0,0.0
G1920,13600.913496590152,163,0.0,0.0,0.0,0.0,0.0,0.0
G1921,473.7760106807195,13,0.0,0.0,0.0,0.0,0.0,0.0
G1966,363.3319404909079,6,0.0,0.0,0.0,0.0,0.0,0.0
G1970,1207.6571278791184,44,52.9,6.0,52.9,6.0,0.0,0.0
G1971,13628.042334966978,408,427.26,48.0,389.14000000000004,46.0,38.120000000000005,2.0
G1972,5136.435126270526,136,117.292,12.0,92.29199999999999,11.0,25.0,1.0
G1973,3805.0546750597396,170,26.0,4.0,26.0,4.0,0.0,0.0
G1974,311.876652567839,18,5.0,1.0,5.0,1.0,0.0,0.0
G1975,7039.9725447578785,161,509.25,13.0,61.25,11.0,448.0,2.0
G1976,2813.3454477763894,47,10.5,1.0,0.0,0.0,10.5,1.0
G1977,70.46945579930193,8,0.0,0.0,0.0,0.0,0.0,0.0
G1979,76.38343241065347,6,0.0,0.0,0.0,0.0,0.0,0.0
G1981,1295.8986289597906,62,3.64,1.0,3.64,1.0,0.0,0.0
G2025,1493.8766391280424,41,54.4,2.0,54.4,2.0,0.0,0.0
G2026,2207.197226972976,77,52.8,5.0,52.8,5.0,0.0,0.0
G2027,8938.66866710518,152,311.3,7.0,20.1,3.0,291.2,4.0
G2028,4507.9347450084915,180,120.2,11.0,60.2,9.0,60.0,2.0
G2029,6970.214531380376,281,210.48,20.0,95.08,18.0,115.4,2.0
G2030,5677.1015814446655,50,3.64,1.0,3.64,1.0,0.0,0.0
G2031,580.8885538844311,39,0.0,0.0,0.0,0.0,0.0,0.0
G2032,435.32869458041023,40,0.0,0.0,0.0,0.0,0.0,0.0
G2033,56.98435993374244,8,0.0,0.0,0.0,0.0,0.0,0.0
G2034,22.0544749201977,2,0.0,0.0,0.0,0.0,0.0,0.0
G2035,19.09705787222934,3,0.0,0.0,0.0,0.0,0.0,0.0
G2037,238.9089479221863,14,24.0,1.0,24.0,1.0,0.0,0.0
G2038,685.4040148496489,38,0.0,0.0,0.0,0.0,0.0,0.0
